Language,Greedy limit-hit,Sampling limit-hit,Greedy repetition,Sampling repetition,Greedy usable,Sampling usable,Greedy mean tokens,Sampling mean tokens
en,0/15 (0.0%),0/15 (0.0%),0/15 (0.0%),0/15 (0.0%),15/15 (100.0%),15/15 (100.0%),298.9,293.6
bn,14/15 (93.3%),14/15 (93.3%),4/15 (26.7%),4/15 (26.7%),1/15 (6.7%),1/15 (6.7%),881.8,852.6
sw,15/15 (100.0%),15/15 (100.0%),15/15 (100.0%),15/15 (100.0%),0/15 (0.0%),0/15 (0.0%),975.2,979.5
jv,15/15 (100.0%),3/15 (20.0%),0/15 (0.0%),0/15 (0.0%),0/15 (0.0%),12/15 (80.0%),512.2,502.9
Overall,44/60 (73.3%),32/60 (53.3%),19/60 (31.7%),19/60 (31.7%),16/60 (26.7%),28/60 (46.7%),667.0,657.2
